model_name,display_name,feature_tier,feature_tier_short,context_count,connectivity_count,top1,top1_ci95_low,top1_ci95_high,top3,top3_ci95_low,top3_ci95_high,top5,top5_ci95_low,top5_ci95_high,mrr,mrr_ci95_low,mrr_ci95_high
random_uniform,Uniform random ranking,analytic reference,Analytic,1026,866,0.0212246457844,0.0143398963542,0.031376816297,0.0500287131817,0.0417844810421,0.0609830413211,0.0778581217096,0.0678802597888,0.0903045819172,0.0695804302742,0.061855905328,0.0800114898973
site_type_prior_mean,Site-type prior + development mean,standard public inputs,Public,1026,866,0.0604288499025,0.0428696401069,0.0799201286043,0.12865497076,0.102983304586,0.155426345681,0.192007797271,0.161537886341,0.223069959936,0.14761787484,0.129649723945,0.166932030168
morgan_1nn,Morgan/Tanimoto 1NN,standard public inputs,Public,1026,866,0.492202729045,0.456498867629,0.528211008511,0.683235867446,0.650934119961,0.715931180283,0.765107212476,0.73555337904,0.794202970942,0.610863876149,0.582339846305,0.63960838636
linear,Logistic regression + ridge,standard public inputs,Public,1026,866,0.570175438596,0.535196649741,0.604427869194,0.849902534113,0.826043737575,0.872549019608,0.921052631579,0.903036238981,0.937260055898,0.718210436648,0.694319415781,0.741259827496
random_forest_standard,Random forest,standard public inputs,Public,1026,866,0.873294346979,0.851777794374,0.894140494261,0.943469785575,0.928220133111,0.957935784789,0.962962962963,0.950883660583,0.974137931034,0.912705463967,0.897442326409,0.927654729538
hist_gradient_boosting_standard,Histogram gradient boosting,standard public inputs,Public,1026,866,0.836257309942,0.811466057824,0.860038610039,0.938596491228,0.922772277228,0.953488372093,0.964912280702,0.952873998471,0.97593840231,0.891950946608,0.875423635008,0.908230843272
random_forest_matched_inputs,Random forest + matched nonlearned inputs,feature-matched nonlearned inputs,Matched,1026,866,0.905458089669,0.885488101267,0.924402759061,0.964912280702,0.953124220309,0.975634121412,0.980506822612,0.9717624148,0.988505747126,0.937279273683,0.924013516537,0.950027541037
hist_gradient_boosting_matched_inputs,Histogram gradient boosting + matched nonlearned inputs,feature-matched nonlearned inputs,Matched,1026,866,0.87134502924,0.848484117234,0.893385982231,0.959064327485,0.946183953033,0.971098265896,0.976608187135,0.966600357769,0.985700667302,0.916867384963,0.901830262238,0.931163039299
joint_model,Joint model (proposed),proposed learned representation,Proposed,1026,866,0.930799220273,0.912875121007,0.947472745292,0.980506822612,0.971540726202,0.988428436854,0.987329434698,0.980119284294,0.994024053042,0.95687120425,0.945725248039,0.967219179936
