model,outer_fold,context_id,output,feature,feature_family,shapley_value,baseline_output,full_output,completeness_residual,feature_value,feature_value_semantics,feature_value_percentile
joint model,0,context:046650b42d9338282244a2d8,site-ranking logit contrast,solvent::solvent_delta_p,solvent,-0.0001131246487299,-2.16210675239563,-2.161988576253255,0.0,0.9553216099739076,standardized solvent value,0.7525
joint model,0,context:046650b42d9338282244a2d8,site-ranking logit contrast,solvent::solvent_delta_h,solvent,4.24186388661707e-06,-2.16210675239563,-2.161988576253255,0.0,-0.454887181520462,standardized solvent value,0.1925
joint model,0,context:046650b42d9338282244a2d8,site-ranking logit contrast,solvent::solvent_delta,solvent,4.390875498611058e-06,-2.16210675239563,-2.161988576253255,0.0,-0.1897686123847961,standardized solvent value,0.4425
joint model,0,context:046650b42d9338282244a2d8,site-ranking logit contrast,solvent::identity,solvent,-0.0001380915443102,-2.16210675239563,-2.161988576253255,0.0,,categorical vocabulary index; color disabled,
joint model,0,context:046650b42d9338282244a2d8,site-ranking logit contrast,context::formal_charge,formal charge,-0.0001499777038893,-2.16210675239563,-2.161988576253255,0.0,0.6713831424713135,standardized molecular formal charge,0.8225
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,local::alpb_fukui_minus_density,local electronic,-0.0016898959875106,-1.8745235204696653,-1.878833492596944,0.0,-0.2725228667259216,mean standardized node value,0.1075
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,local::alpb_cm5,local electronic,-0.0002479081352552,-1.8745235204696653,-1.878833492596944,0.0,0.0560023859143257,mean standardized node value,0.7575
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,local::alpb_condensed_softness,local electronic,-0.00028295814991,-1.8745235204696653,-1.878833492596944,0.0,-0.1860035210847854,mean standardized node value,0.1475
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,local::alpb_condensed_nucleophilicity_index_ev,local electronic,-0.0008944744865098,-1.8745235204696653,-1.878833492596944,0.0,-0.2938150763511657,mean standardized node value,0.0875
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,global::alpb_homo_n_hartree,global electronic,-0.0003946622212727,-1.8745235204696653,-1.878833492596944,0.0,-0.6944314241409302,standardized molecular value,0.2175
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,global::alpb_softness_hartree_inverse,global electronic,0.0001739884416262,-1.8745235204696653,-1.878833492596944,0.0,-0.0246985256671905,standardized molecular value,0.5375
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,global::alpb_vip_hartree,global electronic,0.000556377073129,-1.8745235204696653,-1.878833492596944,0.0,0.3771110475063324,standardized molecular value,0.6875
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,global::alpb_nucleophilicity_index_hartree,global electronic,-0.0005852505564688,-1.8745235204696653,-1.878833492596944,0.0,-0.6944314241409302,standardized molecular value,0.2175
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,global::alpb_homo_n_minus_1_hartree,global electronic,-0.0003328571716944,-1.8745235204696653,-1.878833492596944,0.0,0.1022800356149673,standardized molecular value,0.5275
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,global::delta_e_solv_hartree,global electronic,-0.000541605055332,-1.8745235204696653,-1.878833492596944,0.0,0.4106447696685791,standardized molecular value,0.4975
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,solvent::solvent_nD,solvent,0.0001508643229802,-1.8745235204696653,-1.878833492596944,0.0,-1.0327627658843994,standardized solvent value,0.3625
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,solvent::solvent_f(n^2),solvent,0.0002109284202257,-1.8745235204696653,-1.878833492596944,0.0,-1.0374464988708496,standardized solvent value,0.3625
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,solvent::solvent_epsilon_r,solvent,-3.116081158324735e-05,-1.8745235204696653,-1.878833492596944,0.0,0.1369819790124893,standardized solvent value,0.4125
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,solvent::solvent_ET(30),solvent,-6.208817172892457e-08,-1.8745235204696653,-1.878833492596944,0.0,0.0006728928419761,standardized solvent value,0.6425
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,solvent::solvent_DI,solvent,-4.1693449020427376e-05,-1.8745235204696653,-1.878833492596944,0.0,-1.0317803621292114,standardized solvent value,0.3625
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,solvent::solvent_ES,solvent,-9.08995668093132e-05,-1.8745235204696653,-1.878833492596944,0.0,0.3536722064018249,standardized solvent value,0.4125
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,solvent::solvent_alpha_1,solvent,-2.671529849374021e-05,-1.8745235204696653,-1.878833492596944,0.0,-0.1171622648835182,standardized solvent value,0.6825
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,solvent::solvent_beta_1,solvent,0.0001471762855847,-1.8745235204696653,-1.878833492596944,0.0,0.1879694610834121,standardized solvent value,0.4575
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,solvent::solvent_alpha,solvent,-5.55614630381035e-05,-1.8745235204696653,-1.878833492596944,0.0,-0.1473824381828308,standardized solvent value,0.6825
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,solvent::solvent_beta,solvent,-1.1051694552122182e-05,-1.8745235204696653,-1.878833492596944,0.0,0.0671085715293884,standardized solvent value,0.4125
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,solvent::solvent_pi_*,solvent,-3.5407642523480054e-05,-1.8745235204696653,-1.878833492596944,0.0,-0.8521863222122192,standardized solvent value,0.1325
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,solvent::solvent_SPP,solvent,-0.0001762782533963,-1.8745235204696653,-1.878833492596944,0.0,-0.3861753344535827,standardized solvent value,0.4025
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,solvent::solvent_SB,solvent,3.382315238317779e-05,-1.8745235204696653,-1.878833492596944,0.0,-0.0816770866513252,standardized solvent value,0.5925
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,solvent::solvent_SA,solvent,-7.979571819319298e-06,-1.8745235204696653,-1.878833492596944,0.0,-0.3827982544898987,standardized solvent value,0.2325
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,solvent::solvent_delta_d,solvent,0.0001297071576118,-1.8745235204696653,-1.878833492596944,0.0,-1.2151788473129272,standardized solvent value,0.2525
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,solvent::solvent_delta_p,solvent,0.0001817271113396,-1.8745235204696653,-1.878833492596944,0.0,0.9553216099739076,standardized solvent value,0.7525
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,solvent::solvent_delta_h,solvent,0.0002072652180989,-1.8745235204696653,-1.878833492596944,0.0,-0.454887181520462,standardized solvent value,0.1925
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,solvent::solvent_delta,solvent,-2.0404656728104095e-05,-1.8745235204696653,-1.878833492596944,0.0,-0.1897686123847961,standardized solvent value,0.4425
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,solvent::identity,solvent,-0.0005781054496764,-1.8745235204696653,-1.878833492596944,0.0,,categorical vocabulary index; color disabled,
joint model,0,context:16b1e73b7ed6334a3dae379c,site-ranking logit contrast,context::formal_charge,formal charge,-5.68976004919064e-05,-1.8745235204696653,-1.878833492596944,0.0,0.6713831424713135,standardized molecular formal charge,0.8225
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,local::alpb_fukui_minus_density,local electronic,-0.0069718685942078,2.7661226936209093,2.1568137673331997,0.0,0.2897149324417114,mean standardized node value,0.6275
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,local::alpb_cm5,local electronic,-0.1749803705788357,2.7661226936209093,2.1568137673331997,0.0,0.0559955425560474,mean standardized node value,0.6575
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,local::alpb_condensed_softness,local electronic,-0.0043806711714279,2.7661226936209093,2.1568137673331997,0.0,0.1786007136106491,mean standardized node value,0.6775
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,local::alpb_condensed_nucleophilicity_index_ev,local electronic,-0.0384687677324392,2.7661226936209093,2.1568137673331997,0.0,-0.1199866011738777,mean standardized node value,0.2575
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,global::alpb_homo_n_hartree,global electronic,-0.099014831585153,2.7661226936209093,2.1568137673331997,0.0,-1.16136372089386,standardized molecular value,0.0675
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,global::alpb_softness_hartree_inverse,global electronic,0.0138992213148206,2.7661226936209093,2.1568137673331997,0.0,-0.0185464210808277,standardized molecular value,0.5675
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,global::alpb_vip_hartree,global electronic,-0.0369289596410337,2.7661226936209093,2.1568137673331997,0.0,1.1181950569152832,standardized molecular value,0.9375
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,global::alpb_nucleophilicity_index_hartree,global electronic,-0.0853700396272642,2.7661226936209093,2.1568137673331997,0.0,-1.16136372089386,standardized molecular value,0.0675
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,global::alpb_homo_n_minus_1_hartree,global electronic,0.0036993326698638,2.7661226936209093,2.1568137673331997,0.0,-0.9425594210624696,standardized molecular value,0.1375
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,global::delta_e_solv_hartree,global electronic,0.0133487221479244,2.7661226936209093,2.1568137673331997,0.0,0.674268364906311,standardized molecular value,0.7475
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,solvent::solvent_nD,solvent,0.0010475409813822,2.7661226936209093,2.1568137673331997,0.0,0.4517121016979217,standardized solvent value,0.7225
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,solvent::solvent_f(n^2),solvent,-0.0054430186279636,2.7661226936209093,2.1568137673331997,0.0,0.4729459881782532,standardized solvent value,0.7225
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,solvent::solvent_epsilon_r,solvent,-0.0226555956100287,2.7661226936209093,2.1568137673331997,0.0,-1.0600494146347046,standardized solvent value,0.0725
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,solvent::solvent_ET(30),solvent,-0.0005715049924966,2.7661226936209093,2.1568137673331997,0.0,-0.7273086309432983,standardized solvent value,0.0725
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,solvent::solvent_DI,solvent,-0.0010413009101798,2.7661226936209093,2.1568137673331997,0.0,0.5289967060089111,standardized solvent value,0.7225
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,solvent::solvent_ES,solvent,-0.0119502090712387,2.7661226936209093,2.1568137673331997,0.0,-1.1586538553237915,standardized solvent value,0.0725
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,solvent::solvent_alpha_1,solvent,-0.003585827790434,2.7661226936209093,2.1568137673331997,0.0,-0.3987596333026886,standardized solvent value,0.3925
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,solvent::solvent_beta_1,solvent,-0.0299615810074306,2.7661226936209093,2.1568137673331997,0.0,-1.1980485916137695,standardized solvent value,0.0425
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,solvent::solvent_alpha,solvent,0.0049073606235428,2.7661226936209093,2.1568137673331997,0.0,-0.3206884860992431,standardized solvent value,0.3925
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,solvent::solvent_beta,solvent,-0.0254472707145035,2.7661226936209093,2.1568137673331997,0.0,-1.1649284362792969,standardized solvent value,0.0425
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,solvent::solvent_pi_*,solvent,0.0017712961014585,2.7661226936209093,2.1568137673331997,0.0,-0.3031034767627716,standardized solvent value,0.4925
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,solvent::solvent_SPP,solvent,-0.0089192873623877,2.7661226936209093,2.1568137673331997,0.0,-0.804781436920166,standardized solvent value,0.0725
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,solvent::solvent_SB,solvent,-0.0065115519053919,2.7661226936209093,2.1568137673331997,0.0,-0.6239776611328125,standardized solvent value,0.2125
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,solvent::solvent_SA,solvent,0.0015707974436121,2.7661226936209093,2.1568137673331997,0.0,-0.3827982544898987,standardized solvent value,0.2325
joint model,0,context:18ff98d098dbd02ed5f75395,site-ranking logit contrast,solvent::solvent_delta_d,solvent,-0.0005870397311229,2.7661226936209093,2.1568137673331997,0.0,0.8398393988609314,standardized solvent value,0.7325
