split,context_count,connectivity_count,automatic_site_mae,automatic_site_mse,automatic_site_rmse,automatic_site_r2,known_site_mae,known_site_mse,known_site_rmse,known_site_r2
1,193,174,1.12384131226,2.24220546113,1.49739956629,0.963649328277,1.11803820081,2.22760369635,1.49251589484,0.963886052327
2,208,173,1.31905713512,3.64313357072,1.90869944484,0.933167142431,1.26785680985,3.10607773887,1.76240680289,0.943019368604
3,197,172,1.34583271262,4.91433288077,2.21682946588,0.90058629411,1.14377233783,2.80111728081,1.67365387127,0.943335248899
4,219,175,1.08024664848,2.62588829478,1.62045928514,0.946659520762,1.06252156605,2.37733451268,1.54186073064,0.951708470438
5,209,172,1.23804599096,3.16744094338,1.77973058168,0.936807878844,1.16275928482,2.6461325585,1.62669375068,0.94720825669
Pooled OOF,1026,866,1.21999993166,3.3096546861,1.81924563655,0.937429558769,1.15061174781,2.63303094581,1.62266168557,0.950221420758
