model,outer_fold,context_id,connectivity_id,output,pathway,shapley_value,pathway_value,pathway_value_semantics,baseline_output,full_output,completeness_residual,pathway_value_percentile,pathway_value_color_semantics
joint model,0,context:1e09b044d95fdd440ea85ec5,ZSBDPRIWBYHIAF,conditional N,molecular formal charge,0.333204083973,-1.38442146778,standardized signed scalar,13.6774899165,16.0537344615,0,0.234892787524,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:1e317e343456e6afbce995e0,MJVQTBDTLNENNZ,conditional N,molecular formal charge,-2.45090034273,0.664344012737,standardized signed scalar,12.9225422541,23.1218001048,-3.5527136788e-15,0.651559454191,"within-pathway empirical percentile; color only, not a model output"
joint model,2,context:1e3add533f640317d55dab2f,ZIPLUEXSCPLCEI,conditional N,molecular formal charge,-0.207633124457,-1.40662312508,standardized signed scalar,14.2605663935,19.758623759,0,0.115497076023,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:1e4bcbaf7b560172aaaf8855,YGHUUVGIRWMJGE,conditional N,molecular formal charge,2.30714400609,0.664344012737,standardized signed scalar,-3.17649904887,-0.27552986145,4.4408920985e-16,0.651559454191,"within-pathway empirical percentile; color only, not a model output"
joint model,3,context:1e8484b529709735e9a3a718,CUFNKYGDVFVPHO,conditional N,molecular formal charge,0.653861920039,0.641922056675,standardized signed scalar,13.5171899796,1.68548202515,1.7763568394e-15,0.384990253411,"within-pathway empirical percentile; color only, not a model output"
joint model,3,context:204f52ee8fcdd4d29b0a1f62,IENZCGNHSIMFJE,conditional N,molecular formal charge,0.303467048539,0.641922056675,standardized signed scalar,14.7569189072,3.33344523112,4.4408920985e-16,0.384990253411,"within-pathway empirical percentile; color only, not a model output"
joint model,0,context:206208777f16c1a993720f92,HJTMLKUQGRHHBV,conditional N,molecular formal charge,0.656188540988,0.671383142471,standardized signed scalar,8.96833896637,5.03501415253,0,0.787037037037,"within-pathway empirical percentile; color only, not a model output"
joint model,4,context:2065e12e5f86c117a9969567,RZXMPPFPUUCRFN,conditional N,molecular formal charge,-0.470843235652,0.683384299278,standardized signed scalar,15.0459699631,12.1439536413,0,0.926413255361,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:206b78dae8b3648108a62d42,YAXSHOYVZVGDND,conditional N,molecular formal charge,1.30376952224,0.664344012737,standardized signed scalar,4.79937632879,3.86393594742,8.881784197e-16,0.651559454191,"within-pathway empirical percentile; color only, not a model output"
joint model,1,context:206ec3b9fe4bc58a15228abb,BEHPKGIJAWBJMV,conditional N,molecular formal charge,1.79023893674,0.664344012737,standardized signed scalar,-1.15886815389,3.29747517904,-4.4408920985e-16,0.651559454191,"within-pathway empirical percentile; color only, not a model output"
joint model,3,context:20a9c9c38a945c8ea32e131a,VEXZGXHMUGYJMC,conditional N,molecular formal charge,1.08771179782,-1.42649352551,standardized signed scalar,13.1864226659,11.1502094269,0,0.046783625731,"within-pathway empirical percentile; color only, not a model output"
joint model,0,context:20d0d451e75912ece86fa97d,LFQSCWFLJHTTHZ,conditional N,molecular formal charge,0.0670580201679,0.671383142471,standardized signed scalar,12.1040420532,7.97177600861,-8.881784197e-16,0.787037037037,"within-pathway empirical percentile; color only, not a model output"
joint model,0,context:20d8a2eaf05b9af6bc9e3953,JJWLVOIRVHMVIS,conditional N,molecular formal charge,-0.164599021276,0.671383142471,standardized signed scalar,15.5168155034,12.1004826228,0,0.787037037037,"within-pathway empirical percentile; color only, not a model output"
joint model,3,context:21161b509f74b8cd263d80aa,HTWIZMNMTWYQRN,conditional N,molecular formal charge,2.00509864754,0.641922056675,standardized signed scalar,3.62640841802,-1.34347438812,2.22044604925e-15,0.384990253411,"within-pathway empirical percentile; color only, not a model output"
joint model,3,context:21178382eec0c0b1f1b1d735,UYUUAUOYLFIRJG,conditional N,molecular formal charge,-2.15470472972,0.641922056675,standardized signed scalar,20.7172247569,15.9083922704,0,0.384990253411,"within-pathway empirical percentile; color only, not a model output"
joint model,0,context:214dd31c19747d5f9196b372,ULGQYSSQBVDCSA,conditional N,molecular formal charge,-2.79533248478,0.671383142471,standardized signed scalar,21.7592468262,17.5275713603,0,0.787037037037,"within-pathway empirical percentile; color only, not a model output"
joint model,2,context:21ae076d2a3c7d8e677c6cf4,KFZMGEQAYNKOFK,conditional N,molecular formal charge,0.69321668148,0.659897267818,standardized signed scalar,0.49304596583,0.415185610453,-2.22044604925e-16,0.517543859649,"within-pathway empirical percentile; color only, not a model output"
joint model,2,context:21d2478620ac307a608b8278,NWVVVBRKAWDGAB,conditional N,molecular formal charge,-0.510375499725,-1.40662312508,standardized signed scalar,17.6090545654,20.4389241536,0,0.115497076023,"within-pathway empirical percentile; color only, not a model output"
