model_name,display_name,feature_tier,feature_tier_short,context_count,connectivity_count,automatic_site_mae,automatic_site_rmse,automatic_site_r2,automatic_site_mae_ci95_low,automatic_site_mae_ci95_high,known_site_mae,known_site_rmse,known_site_r2,known_site_mae_ci95_low,known_site_mae_ci95_high
site_type_prior_mean,Site-type prior + development mean,standard public inputs,Public,1026,866,5.92324093448,7.27410971904,-0.00033676034453,5.64817606298,6.20348871984,5.92324093448,7.27410971904,-0.00033676034453,5.64817606298,6.20348871984
morgan_1nn,Morgan/Tanimoto 1NN,standard public inputs,Public,1026,866,5.36321962313,7.82932294656,-0.158870608545,4.98443706904,5.75365272497,2.70288823912,4.01944981483,0.694564329623,2.49812651821,2.92140554942
linear,Logistic regression + ridge,standard public inputs,Public,1026,866,3.42418255988,4.96036736021,0.534827303304,3.1973244276,3.65905913365,1.92606222798,2.60970868174,0.871243075566,1.81050897386,2.04642406379
random_forest_standard,Random forest,standard public inputs,Public,1026,866,2.12500145362,2.96877347671,0.833374810513,1.99196629099,2.25812434826,2.02065289974,2.74753830855,0.857283545984,1.9001491606,2.13690081324
hist_gradient_boosting_standard,Histogram gradient boosting,standard public inputs,Public,1026,866,1.9324604952,2.78347878824,0.853525384789,1.80263018325,2.06635509205,1.76898981523,2.45028797552,0.886493484605,1.65964785029,1.8839171414
random_forest_matched_inputs,Random forest + matched nonlearned inputs,feature-matched nonlearned inputs,Matched,1026,866,1.90961361782,2.70622800219,0.861542877798,1.7875916074,2.03726804268,1.79298864891,2.40326042208,0.890808658322,1.68811633903,1.89924438489
hist_gradient_boosting_matched_inputs,Histogram gradient boosting + matched nonlearned inputs,feature-matched nonlearned inputs,Matched,1026,866,1.87338250804,2.80614614583,0.851130028628,1.73833670317,2.01523357365,1.64602553507,2.30736370436,0.899348871832,1.53953854561,1.76065348213
joint_model,Joint model (proposed),proposed learned representation,Proposed,1026,866,1.21999993166,1.81924563655,0.937429558769,1.13221247157,1.3138455827,1.15061174781,1.62266168557,0.950221420758,1.07810394779,1.22667544679
