subgroup_family,subgroup,context_count,connectivity_count,display_metric,estimate,ci95_low,ci95_high,bootstrap_replicates,bootstrap_seed,bootstrap_unit,placement
solvent,water,114,113,known-site N R2,0.768273045139,0.575295441435,0.871199782688,5000,1384203650,connectivity,main text
solvent,water,114,113,known-site N MAE,0.986684509802,0.789432448305,1.2167016813,5000,1384203650,connectivity,main text
solvent,THF,25,25,Top-1 exact-site accuracy,0.96,0.88,1.0,5000,459210303,connectivity,main text
solvent,THF,25,25,automatic-site N R2,0.830502032014,0.543947623936,0.932896645014,5000,459210303,connectivity,main text
solvent,THF,25,25,automatic-site N MAE,1.37887742615,0.912335174332,1.91175143182,5000,459210303,connectivity,main text
solvent,THF,25,25,known-site N R2,0.825761792514,0.53782102652,0.928835264147,5000,459210303,connectivity,main text
solvent,THF,25,25,known-site N MAE,1.42499550222,0.95546240701,1.96103747021,5000,459210303,connectivity,main text
site type,atom,630,502,Top-1 exact-site accuracy,0.942857142857,0.921172661136,0.962324867251,5000,1948163867,connectivity,main text
site type,atom,630,502,automatic-site N R2,0.870352183595,0.8290616295,0.902184632826,5000,1948163867,connectivity,main text
site type,atom,630,502,automatic-site N MAE,1.24447239997,1.13120580084,1.3724591442,5000,1948163867,connectivity,main text
site type,atom,630,502,known-site N R2,0.897378364331,0.871565740411,0.917957490877,5000,1948163867,connectivity,main text
site type,atom,630,502,known-site N MAE,1.17505064927,1.07923115838,1.27958119833,5000,1948163867,connectivity,main text
site type,bond,159,144,Top-1 exact-site accuracy,0.962264150943,0.929925077576,0.98773006135,5000,3462873188,connectivity,main text
site type,bond,159,144,automatic-site N R2,0.933155580591,0.906353781307,0.952690414328,5000,3462873188,connectivity,main text
site type,bond,159,144,automatic-site N MAE,0.898410934512,0.778945213527,1.02403390006,5000,3462873188,connectivity,main text
site type,bond,159,144,known-site N R2,0.94243100255,0.922544383695,0.957428390912,5000,3462873188,connectivity,main text
site type,bond,159,144,known-site N MAE,0.871018500298,0.76249656085,0.980208164979,5000,3462873188,connectivity,main text
site type,transferable H,137,130,Top-1 exact-site accuracy,0.890510948905,0.830882352941,0.941605839416,5000,274860744,connectivity,main text
site type,transferable H,137,130,automatic-site N R2,0.868601487829,0.797337584606,0.914284472643,5000,274860744,connectivity,main text
site type,transferable H,137,130,automatic-site N MAE,1.50138536699,1.22435209801,1.79793318024,5000,274860744,connectivity,main text
site type,transferable H,137,130,known-site N R2,0.906521772101,0.870259652345,0.932185503265,5000,274860744,connectivity,main text
site type,transferable H,137,130,known-site N MAE,1.35061116481,1.12802110185,1.58916519826,5000,274860744,connectivity,main text
site type,delocalized region,61,61,Top-1 exact-site accuracy,0.852459016393,0.754098360656,0.934426229508,5000,1086826913,connectivity,main text
site type,delocalized region,61,61,automatic-site N R2,0.766275920309,0.563220289835,0.870858671736,5000,1086826913,connectivity,main text
site type,delocalized region,61,61,automatic-site N MAE,1.3758163548,1.06034295338,1.71127933827,5000,1086826913,connectivity,main text
site type,delocalized region,61,61,known-site N R2,0.762003765436,0.544927840929,0.875804460527,5000,1086826913,connectivity,main text
site type,delocalized region,61,61,known-site N MAE,1.36554409934,1.04815530946,1.70419079387,5000,1086826913,connectivity,main text
site type,atom group,39,33,Top-1 exact-site accuracy,0.871794871795,0.75,0.972972972973,5000,66864378,connectivity,main text
site type,atom group,39,33,automatic-site N R2,0.921636464896,0.843484144894,0.965394658844,5000,66864378,connectivity,main text
site type,atom group,39,33,automatic-site N MAE,0.903599651206,0.58848628242,1.28716626891,5000,66864378,connectivity,main text
site type,atom group,39,33,known-site N R2,0.933127010353,0.859887097455,0.968521449587,5000,66864378,connectivity,main text
site type,atom group,39,33,known-site N MAE,0.856971359579,0.568925152287,1.20532365645,5000,66864378,connectivity,main text
