split,context_count,connectivity_count,top1_accuracy,top3_accuracy,top5_accuracy,mean_reciprocal_rank
1,193,174,0.943005181347,0.974093264249,0.984455958549,0.959885681388
2,208,173,0.927884615385,0.985576923077,0.985576923077,0.955787797061
3,197,172,0.918781725888,0.969543147208,0.979695431472,0.948003044837
4,219,175,0.931506849315,0.990867579909,0.995433789954,0.96131405378
5,209,172,0.933014354067,0.980861244019,0.99043062201,0.95886928064
Pooled OOF,1026,866,0.930799220273,0.980506822612,0.987329434698,0.95687120425
