case_id,case_category,outer_fold,context_id,connectivity_id,source_id,name,model_canonical_smiles,model_mapped_smiles,solvent_raw,nucleophile_class,site_type,true_candidate_site_id,predicted_candidate_site_id,candidate_count,exact_rank,site_top1_correct,N_true,automatic_n_prediction,known_site_n_prediction,automatic_n_abs_error,known_site_n_abs_error,top1_canonical_logit,top1_margin
case-1,typical correct,1,context:c55aa7cf9f244ace1d08bf32,SDDKBWPIFZJMDW,mayr:350,anion of (4-nitrophenyl)nitromethane (in water),O=[N+]([O-])[CH-]c1ccc([N+](=O)[O-])cc1,[O:1]=[N+:2]([O-:3])[CH-:4][c:5]1[cH:6][cH:7][c:8]([N+:9](=[O:10])[O-:11])[cH:12][cH:13]1,water,C nucleophiles,atom,site:58e18e4a3e107e087c60f6ad,site:58e18e4a3e107e087c60f6ad,101,1,True,13.58,12.7535498937,12.7535498937,0.826450106303,0.826450106303,5.18897695843,6.69487214417
case-2,near miss,3,context:d4780e321293e26a4a497619,MVUMJYQUKKUOHO,mayr:87,ethyl (E)-3-(dimethylamino)acrylate,CCOC(=O)/C=C/N(C)C,[CH3:1][CH2:2][O:3][C:4](=[O:5])/[CH:6]=[CH:7]/[N:8]([CH3:9])[CH3:10],dichloromethane,C nucleophiles,bond,site:cf0bfbbbabe73ca0b2bcbb19,site:47c3a2796e099bf315815884,73,2,False,9.43,9.45534420013,8.41371949514,0.0253442001343,1.01628050486,0.828871641905,0.0134262022994
case-3,failure,2,context:6fe48fbf9373793908993fab,FAGLEPBREOXSAC,mayr:474,tert-butyl isocyanide,[C]=NC(C)(C)C,[C:1]=[N:2][C:3]([CH3:4])([CH3:5])[CH3:6],dichloromethane,C nucleophiles,atom,site:a52a556ba70ca6bfcba2b2f3,site:c2c78c12ef8df99f8710dde5,51,19,False,5.47,14.0859899521,5.69092798233,8.61598995209,0.22092798233,2.33687174775,1.85123124147
case-4,typical correct,3,context:09ce772c3d342961a7abfaec,GQHTUMJGOHRCHB,mayr:931,DBU (in THF),C1CCC2=NCCCN2CC1,[CH2:1]1[CH2:2][CH2:3][C:4]2=[N:5][CH2:6][CH2:7][CH2:8][N:9]2[CH2:10][CH2:11]1,THF,N nucleophiles,atom,site:fa324338416bcabf72f76444,site:fa324338416bcabf72f76444,145,1,True,16.12,16.7873395284,16.7873395284,0.667339528402,0.667339528402,2.13184950506,1.33770336611
case-5,near miss,0,context:06e6d7dec0af50fa72831e57,IVRMZWNICZWHMI,mayr:426,azide ion (in DMSO),[N-]=[N+]=[N-],[N-:1]=[N+:2]=[N-:3],DMSO,N nucleophiles,atom group,site:de98cae0e61eb069dd141dea,site:cbb3cc165bfe92575c5a6509,12,3,False,20.5,15.6168518066,15.6734488805,4.88314819336,4.82655111949,2.87574487784,9.53674316406e-07
case-6,failure,0,context:69a88882c4e79c18ebac1184,IOVCWXUNBOPUCH,mayr:390,nitrite ion (in MeCN),O=N[O-],[O:1]=[N:2][O-:3],MeCN,N nucleophiles,atom,site:06e1cc5d147c2a4aec48a3e5,site:9e943464e88ca79dad9ba498,9,4,False,17.2,14.1532793045,12.2747999827,3.0467206955,4.92520001729,3.56800945184,2.21328969797
