figure,panel,group_family,parent_class_level_1,group_label,display_label,group_order,ordering_rule,context_count,connectivity_count,prediction_mode,prediction_mode_order,metric,metric_order,estimate,ci95_low,ci95_high,source_value_unit,figure_display_unit,within_2_definition,descriptive_only,interval_status,bootstrap_replicates,bootstrap_seed,bootstrap_unit,minimum_interval_contexts,minimum_interval_connectivities
figure4,a,solvent,not applicable,THF,THF,4,fixed solvent order after excluding the three smallest strata,25,25,automatic-site,0,MAE,1,1.37887742615,0.904771890599,1.91226545211,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,1533475641,connectivity,20,15
figure4,a,solvent,not applicable,THF,THF,4,fixed solvent order after excluding the three smallest strata,25,25,known-site,1,within ±2 ratio,0,0.72,0.52,0.88,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,1533475641,connectivity,20,15
figure4,a,solvent,not applicable,THF,THF,4,fixed solvent order after excluding the three smallest strata,25,25,known-site,1,MAE,1,1.42499550222,0.957511815026,1.95101081627,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,1533475641,connectivity,20,15
figure4,a,solvent,not applicable,DMF,DMF,5,fixed solvent order after excluding the three smallest strata,15,15,automatic-site,0,within ±2 ratio,0,0.6,,,fraction,percent,absolute prediction error <= 2.0 N units,True,descriptive point estimate; interval not computed,0,,not computed,20,15
figure4,a,solvent,not applicable,DMF,DMF,5,fixed solvent order after excluding the three smallest strata,15,15,automatic-site,0,MAE,1,1.47612085893,,,N units,N units,absolute prediction error <= 2.0 N units,True,descriptive point estimate; interval not computed,0,,not computed,20,15
figure4,a,solvent,not applicable,DMF,DMF,5,fixed solvent order after excluding the three smallest strata,15,15,known-site,1,within ±2 ratio,0,0.6,,,fraction,percent,absolute prediction error <= 2.0 N units,True,descriptive point estimate; interval not computed,0,,not computed,20,15
figure4,a,solvent,not applicable,DMF,DMF,5,fixed solvent order after excluding the three smallest strata,15,15,known-site,1,MAE,1,1.47612085893,,,N units,N units,absolute prediction error <= 2.0 N units,True,descriptive point estimate; interval not computed,0,,not computed,20,15
figure4,b,Mayr level 1,not applicable,C-Nucleophiles,C,0,fixed canonical chemical order; not performance-sorted,469,427,automatic-site,0,within ±2 ratio,0,0.848614072495,0.815286624204,0.879419747443,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,2312010804,connectivity,20,15
figure4,b,Mayr level 1,not applicable,C-Nucleophiles,C,0,fixed canonical chemical order; not performance-sorted,469,427,automatic-site,0,MAE,1,1.14020681551,1.04536752976,1.24206206679,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,2312010804,connectivity,20,15
figure4,b,Mayr level 1,not applicable,C-Nucleophiles,C,0,fixed canonical chemical order; not performance-sorted,469,427,known-site,1,within ±2 ratio,0,0.859275053305,0.82683982684,0.889596602972,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,2312010804,connectivity,20,15
figure4,b,Mayr level 1,not applicable,C-Nucleophiles,C,0,fixed canonical chemical order; not performance-sorted,469,427,known-site,1,MAE,1,1.0940188922,1.00608062868,1.18424161074,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,2312010804,connectivity,20,15
figure4,b,Mayr level 1,not applicable,N-Nucleophiles,N,1,fixed canonical chemical order; not performance-sorted,291,222,automatic-site,0,within ±2 ratio,0,0.855670103093,0.808362369338,0.898247100803,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,1625699448,connectivity,20,15
figure4,b,Mayr level 1,not applicable,N-Nucleophiles,N,1,fixed canonical chemical order; not performance-sorted,291,222,automatic-site,0,MAE,1,1.03580076843,0.884308073559,1.19982254317,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,1625699448,connectivity,20,15
figure4,b,Mayr level 1,not applicable,N-Nucleophiles,N,1,fixed canonical chemical order; not performance-sorted,291,222,known-site,1,within ±2 ratio,0,0.872852233677,0.82999829932,0.912755185558,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,1625699448,connectivity,20,15
figure4,b,Mayr level 1,not applicable,N-Nucleophiles,N,1,fixed canonical chemical order; not performance-sorted,291,222,known-site,1,MAE,1,0.95589269079,0.842476359056,1.08248795127,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,1625699448,connectivity,20,15
figure4,b,Mayr level 1,not applicable,H-Nucleophiles,H,2,fixed canonical chemical order; not performance-sorted,137,130,automatic-site,0,within ±2 ratio,0,0.751824817518,0.676470588235,0.823529411765,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,1238728564,connectivity,20,15
figure4,b,Mayr level 1,not applicable,H-Nucleophiles,H,2,fixed canonical chemical order; not performance-sorted,137,130,automatic-site,0,MAE,1,1.50138536699,1.22944517595,1.80444476961,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,1238728564,connectivity,20,15
figure4,b,Mayr level 1,not applicable,H-Nucleophiles,H,2,fixed canonical chemical order; not performance-sorted,137,130,known-site,1,within ±2 ratio,0,0.78102189781,0.707142857143,0.848920863309,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,1238728564,connectivity,20,15
figure4,b,Mayr level 1,not applicable,H-Nucleophiles,H,2,fixed canonical chemical order; not performance-sorted,137,130,known-site,1,MAE,1,1.35061116481,1.13284365629,1.5945964512,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,1238728564,connectivity,20,15
figure4,b,Mayr level 1,not applicable,O-Nucleophiles,O,3,fixed canonical chemical order; not performance-sorted,77,47,automatic-site,0,within ±2 ratio,0,0.701298701299,0.563818549595,0.835443037975,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,1708409455,connectivity,20,15
figure4,b,Mayr level 1,not applicable,O-Nucleophiles,O,3,fixed canonical chemical order; not performance-sorted,77,47,automatic-site,0,MAE,1,1.47783343196,1.05980840964,1.97549541951,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,1708409455,connectivity,20,15
figure4,b,Mayr level 1,not applicable,O-Nucleophiles,O,3,fixed canonical chemical order; not performance-sorted,77,47,known-site,1,within ±2 ratio,0,0.701298701299,0.559988095238,0.833333333333,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,1708409455,connectivity,20,15
figure4,b,Mayr level 1,not applicable,O-Nucleophiles,O,3,fixed canonical chemical order; not performance-sorted,77,47,known-site,1,MAE,1,1.41407581453,1.0249839269,1.89247930866,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,1708409455,connectivity,20,15
figure4,b,Mayr level 1,not applicable,S- and Se-Nucleophiles,S/Se,4,fixed canonical chemical order; not performance-sorted,27,25,automatic-site,0,within ±2 ratio,0,0.925925925926,0.807692307692,1,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3546796534,connectivity,20,15
figure4,b,Mayr level 1,not applicable,S- and Se-Nucleophiles,S/Se,4,fixed canonical chemical order; not performance-sorted,27,25,automatic-site,0,MAE,1,1.06217605874,0.81325273258,1.3605149283,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3546796534,connectivity,20,15
figure4,b,Mayr level 1,not applicable,S- and Se-Nucleophiles,S/Se,4,fixed canonical chemical order; not performance-sorted,27,25,known-site,1,within ±2 ratio,0,0.888888888889,0.758620689655,1,fraction,percent,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3546796534,connectivity,20,15
figure4,b,Mayr level 1,not applicable,S- and Se-Nucleophiles,S/Se,4,fixed canonical chemical order; not performance-sorted,27,25,known-site,1,MAE,1,1.0960975242,0.827712899081,1.41923568199,N units,N units,absolute prediction error <= 2.0 N units,False,connectivity-bootstrap 95% confidence interval,5000,3546796534,connectivity,20,15
figure4,b,Mayr level 1,not applicable,P-Nucleophiles,P,5,fixed canonical chemical order; not performance-sorted,18,16,automatic-site,0,within ±2 ratio,0,0.666666666667,,,fraction,percent,absolute prediction error <= 2.0 N units,True,descriptive point estimate; interval not computed,0,,not computed,20,15
figure4,b,Mayr level 1,not applicable,P-Nucleophiles,P,5,fixed canonical chemical order; not performance-sorted,18,16,automatic-site,0,MAE,1,2.85024582615,,,N units,N units,absolute prediction error <= 2.0 N units,True,descriptive point estimate; interval not computed,0,,not computed,20,15
figure4,b,Mayr level 1,not applicable,P-Nucleophiles,P,5,fixed canonical chemical order; not performance-sorted,18,16,known-site,1,within ±2 ratio,0,0.611111111111,,,fraction,percent,absolute prediction error <= 2.0 N units,True,descriptive point estimate; interval not computed,0,,not computed,20,15
figure4,b,Mayr level 1,not applicable,P-Nucleophiles,P,5,fixed canonical chemical order; not performance-sorted,18,16,known-site,1,MAE,1,2.75983652962,,,N units,N units,absolute prediction error <= 2.0 N units,True,descriptive point estimate; interval not computed,0,,not computed,20,15
figure4,b,Mayr level 1,not applicable,Halide Anions,halide,6,fixed canonical chemical order; not performance-sorted,7,3,automatic-site,0,within ±2 ratio,0,0.571428571429,,,fraction,percent,absolute prediction error <= 2.0 N units,True,descriptive point estimate; interval not computed,0,,not computed,20,15
figure4,b,Mayr level 1,not applicable,Halide Anions,halide,6,fixed canonical chemical order; not performance-sorted,7,3,automatic-site,0,MAE,1,2.29696597238,,,N units,N units,absolute prediction error <= 2.0 N units,True,descriptive point estimate; interval not computed,0,,not computed,20,15
figure4,b,Mayr level 1,not applicable,Halide Anions,halide,6,fixed canonical chemical order; not performance-sorted,7,3,known-site,1,within ±2 ratio,0,0.571428571429,,,fraction,percent,absolute prediction error <= 2.0 N units,True,descriptive point estimate; interval not computed,0,,not computed,20,15
figure4,b,Mayr level 1,not applicable,Halide Anions,halide,6,fixed canonical chemical order; not performance-sorted,7,3,known-site,1,MAE,1,2.29696597238,,,N units,N units,absolute prediction error <= 2.0 N units,True,descriptive point estimate; interval not computed,0,,not computed,20,15
