outer_fold,context_id,connectivity_id,site_top1_correct,candidate_count,top1_query_id,top1_candidate_site_id,top1_site_type,top2_query_id,top2_candidate_site_id,top2_site_type,top1_final_score,top2_final_score,ranking_separation,top1_pre_router_score,top2_pre_router_score,top1_candidate_seed_sd,top2_candidate_seed_sd,neural_gap_seed_2026081001,neural_gap_seed_2026081002,neural_gap_seed_2026081003,neural_gap_mean,u_gap,ensemble_member_count,seed_sd_ddof,router_conditioning
4,context:67a77a88e7d690bd1deb7c15,NCTNEXWAKFHINX,True,48,context:67a77a88e7d690bd1deb7c15|site:39c91bd2f37fa2146611e0b1,site:39c91bd2f37fa2146611e0b1,atom,context:67a77a88e7d690bd1deb7c15|site:09e811fcbf6be53e935d426a,site:09e811fcbf6be53e935d426a,atom_group,3.13572678451,-0.96773476306,4.10346154757,8.44234021505,-9.0586865743,0.00642094813492,0.0417861966215,17.4627056122,17.4916057587,17.5487689972,17.5010267893,0.0357611840235,3,0,frozen deterministic type router
4,context:67d69a6a20e197ae30cd76a6,JJIGRMWSNCMAIW,True,101,context:67d69a6a20e197ae30cd76a6|site:cacf05c4d0084684bb102667,site:cacf05c4d0084684bb102667,atom,context:67d69a6a20e197ae30cd76a6|site:b0d02cc01b8e1e10557a299a,site:b0d02cc01b8e1e10557a299a,atom_group,3.44920599706,-0.22332997817,3.67253597523,9.44960371653,-7.86540285746,0.015019495688,0.0369819245802,17.2837719917,17.3159747124,17.3452730179,17.315006574,0.0251170197731,3,0,frozen deterministic type router
4,context:67ed750647d1b6e29959fb35,BPRJSWGFGAQRNA,True,345,context:67ed750647d1b6e29959fb35|site:1bfe4a09ccb01c82440abe3b,site:1bfe4a09ccb01c82440abe3b,bond,context:67ed750647d1b6e29959fb35|site:ac199ebe950f2b4bd70a39e6,site:ac199ebe950f2b4bd70a39e6,delocalized_region,4.28516092156,-0.823892567326,5.10905348889,7.45014778773,-3.93650364876,0.00676584670385,0.0229155980678,11.3681309223,11.3809373379,11.4108860493,11.3866514365,0.0179162572805,3,0,frozen deterministic type router
4,context:686f9958559bc847496b37e5,SPIUPAOJDZNUJH,True,44,context:686f9958559bc847496b37e5|site:a1c146e45ab29f8ffa055706,site:a1c146e45ab29f8ffa055706,transferable_h_group,context:686f9958559bc847496b37e5|site:971fa6c79a0fb16a216d3972,site:971fa6c79a0fb16a216d3972,atom_group,1.71190719608,1.64631078007,0.0655964160107,-2.77676296234,-3.73904530207,0.0221586270266,0.0258040241344,0.982167482376,0.938616514206,0.966063022614,0.962282339732,0.0179794675381,3,0,frozen deterministic type router
4,context:6876e1c0c3fd72c364f0ed74,UVRHPCHNWMQZLQ,True,109,context:6876e1c0c3fd72c364f0ed74|site:5e79b083527bf1ec71065835,site:5e79b083527bf1ec71065835,transferable_h_group,context:6876e1c0c3fd72c364f0ed74|site:10c849e25fb72554101566fd,site:10c849e25fb72554101566fd,delocalized_region,3.14366833593,0.285558120946,2.85811021498,5.88517332077,-4.61646652222,0.0186528530799,0.0311046559378,10.4837679863,10.4975633621,10.5235881805,10.501639843,0.0165101027576,3,0,frozen deterministic type router
4,context:69d076f569c3d235014d2001,BSKHPKMHTQYZBB,True,73,context:69d076f569c3d235014d2001|site:2f1afe7219af33e9966ed0d1,site:2f1afe7219af33e9966ed0d1,atom,context:69d076f569c3d235014d2001|site:5d881a263c3c856b6ba119b7,site:5d881a263c3c856b6ba119b7,delocalized_region,3.58745997719,-0.790998199332,4.37845817653,10.1604655584,-8.89390595754,0.0101865945629,0.0361558353489,19.0083627701,19.0513410568,19.1034107208,19.0543715159,0.0388622867477,3,0,frozen deterministic type router
4,context:6a348b33b3cd78784267830f,XISYFRGVGQIFHM,True,84,context:6a348b33b3cd78784267830f|site:2ddf7124036ad93ded137a37,site:2ddf7124036ad93ded137a37,transferable_h_group,context:6a348b33b3cd78784267830f|site:f8c4015531f06994d7b31677,site:f8c4015531f06994d7b31677,atom,4.00457065408,-0.65030561283,4.65487626691,8.19068018595,-4.78641637166,0.0182490278537,0.0198254254462,12.9762392044,12.9753947258,12.9796557426,12.9770965576,0.00184216485608,3,0,frozen deterministic type router
4,context:6a55096855f9d314610762f9,FMXOEQQPVONPBU,True,17,context:6a55096855f9d314610762f9|site:2f343cb7b6e8883a09b06a45,site:2f343cb7b6e8883a09b06a45,atom,context:6a55096855f9d314610762f9|site:2016961d052a30b883d4f814,site:2016961d052a30b883d4f814,atom_group,3.23905411239,2.79435947657,0.444694635816,-0.729330619176,-4.57791725794,0.0166185752621,0.0391343949709,3.82248353958,3.84075605869,3.88252031803,3.84858663877,0.0251275702487,3,0,frozen deterministic type router
4,context:6b3a4fe7dab8125f230c7fbe,KHVMRHHPMYLEGH,True,163,context:6b3a4fe7dab8125f230c7fbe|site:d21b672221763f56493fb4fe,site:d21b672221763f56493fb4fe,bond,context:6b3a4fe7dab8125f230c7fbe|site:12fa1a6403dda996e526564a,site:12fa1a6403dda996e526564a,atom,2.97004328628,0.243606441609,2.72643684467,6.95889250437,3.50190552076,0.0189156810793,0.00621296842576,3.47749614716,3.44577884674,3.44768595695,3.45698698362,0.0145230531485,3,0,frozen deterministic type router
4,context:6ca58b21e5db9904eb708a76,HXKKHQJGJAFBHI,True,43,context:6ca58b21e5db9904eb708a76|site:aafdb46028aa544c8352f946,site:aafdb46028aa544c8352f946,atom,context:6ca58b21e5db9904eb708a76|site:9bb91b567f439619211ff6a9,site:9bb91b567f439619211ff6a9,atom_group,3.45009700666,0.0886841131504,3.36141289351,6.87385940552,-6.68362299601,0.0135053849313,0.0258353444259,13.5313782692,13.5319676399,13.6091012955,13.5574824015,0.0365008629875,3,0,frozen deterministic type router
